pid,jobs_completed_early,early_feedback_density,mean_gap_min,jobs_started_early,session_len_sum_early,session_len_max_early,jobs_exited_early,credit_mean_early,level_prog_mean_early,session_len_at_completion_mean,campaign_prog_mean,exit_rate_early,retention_7d,retention_14d,retention_30d,early_feedback_density_log
p10150,3,0.05,23.9583333333333,4,117,56,3,365,0,37.3333333333333,0.0526315783333333,0.75,1,1,1,0.048790164169432
p10151,1,0.0166666666666667,,2,10,9,1,150,0,9,0.02631579,0.5,1,1,1,0.0165293019512106
p10153,1,0.0166666666666667,,2,11,10,1,150,0,9,0.02631579,0.5,0,0,0,0.0165293019512106
p10154,0,0,,1,1,1,1,4,0.31844118,,,1,0,0,0,0
p10155,1,0.0166666666666667,,1,1,1,1,150,1,5,0.02631579,1,0,0,0,0.0165293019512106
p10156,1,0.0166666666666667,,1,1,1,0,,,41.3333333333333,0.02631579,0,0,0,0,0.0165293019512106
p10157,1,0.0166666666666667,,2,13,12,2,119,0.18907769,10,0.02631579,1,1,0,0,0.0165293019512106
p10159,1,0.0166666666666667,,2,19,17,1,150,0,13,0.02631579,0.5,1,1,1,0.0165293019512106
p1016,3,0.05,22.6083333333333,4,124,56,3,475,0,39.6666666666667,0.0526315783333333,0.75,0,0,0,0.048790164169432
p10160,2,0.0333333333333333,13.5166666666667,2,11,9,2,157.5,1,16,0.02631579,1,1,1,1,0.0327898228229909
p10161,3,0.05,21.15,4,103,49,3,415,0,33,0.0526315783333333,0.75,1,1,1,0.048790164169432
p10162,1,0.0166666666666667,,2,14,13,1,150,0,13,0.02631579,0.5,1,0,0,0.0165293019512106
p10163,0,0,,1,1,1,0,,,,,0,1,1,1,0
p10164,3,0.05,23.5,4,113,54,3,475,0,36.6666666666667,0.0526315783333333,0.75,1,0,0,0.048790164169432
p10165,0,0,,1,1,1,1,1,0.025943983,,,1,0,0,0,0
p10166,1,0.0166666666666667,,2,10,9,1,150,0,8,0.02631579,0.5,0,0,0,0.0165293019512106
p10167,0,0,,1,0,0,1,28,0.63618344,,,1,0,0,0,0
p10168,1,0.0166666666666667,,1,36,36,1,600,0,36,0.05263158,1,1,1,0,0.0165293019512106
p10169,1,0.0166666666666667,,2,10,9,1,0,0,8,0.02631579,0.5,1,1,1,0.0165293019512106
p1017,1,0.0166666666666667,,2,8,7,1,150,0,6,0.02631579,0.5,1,1,1,0.0165293019512106
p10170,0,0,,1,5,5,1,34,0.66923714,,,1,1,1,1,0
p10171,1,0.0166666666666667,,2,9,8,2,205.5,0.13725257,7,0.02631579,1,1,1,1,0.0165293019512106
p10172,1,0.0166666666666667,,2,7,6,1,150,0,6,0.02631579,0.5,1,1,1,0.0165293019512106
p10173,1,0.0166666666666667,,1,1,1,1,150,1,8,0.02631579,1,0,0,0,0.0165293019512106
p10174,1,0.0166666666666667,,2,10,9,1,150,0,8,0.02631579,0.5,0,0,0,0.0165293019512106
p10175,1,0.0166666666666667,,2,7,7,2,153.5,0.22809455,6,0.02631579,1,1,1,1,0.0165293019512106
p10176,1,0.0166666666666667,,2,22,15,1,110,0,13,0.02631579,0.5,1,1,1,0.0165293019512106
p10177,1,0.0166666666666667,,2,9,9,2,223.5,0.26981675,8,0.02631579,1,0,0,0,0.0165293019512106
p10179,1,0.0166666666666667,,2,18,13,2,278,0.27037655,13,0.02631579,1,0,0,0,0.0165293019512106
p10180,2,0.0333333333333333,49.8833333333333,2,13,11,1,150,0,34,0.039473685,0.5,0,0,0,0.0327898228229909
p10181,1,0.0166666666666667,,1,1,1,1,15,1,8,0,1,1,1,0,0.0165293019512106
p10182,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
p10184,1,0.0166666666666667,,1,2,2,1,15,1,11,0,1,0,0,0,0.0165293019512106
p10185,1,0.0166666666666667,,2,11,10,2,150,0,9,0.02631579,1,0,0,0,0.0165293019512106
p10186,2,0.0333333333333333,43.2,2,11,9,2,375,0.5,29.5,0.039473685,1,1,1,1,0.0327898228229909
p10187,1,0.0166666666666667,,2,14,12,2,265.5,0.24133599,11,0.02631579,1,0,0,0,0.0165293019512106
p10188,2,0.0333333333333333,9.05,3,20,13,5,281.6,0.22977588,10.5,0.039473685,1.66666666666667,1,1,1,0.0327898228229909
p10189,1,0.0166666666666667,,2,23,21,1,150,0,21,0.02631579,0.5,0,0,0,0.0165293019512106
p1019,1,0.0166666666666667,,2,7,6,2,217.5,0.14977695,6,0.02631579,1,1,1,1,0.0165293019512106
p10190,3,0.05,23.4333333333333,4,114,54,3,475,0,37,0.0526315783333333,0.75,1,1,0,0.048790164169432
p10191,1,0.0166666666666667,,2,9,7,2,302.5,0.37615803,7,0.02631579,1,1,0,0,0.0165293019512106
p10192,1,0.0166666666666667,,2,27,22,1,150,0,16,0.02631579,0.5,1,1,1,0.0165293019512106
p10193,3,0.05,24.9,4,116,56,3,415,0,38,0.0526315783333333,0.75,1,1,1,0.048790164169432
p10194,2,0.0333333333333333,45.1166666666667,3,69,57,2,375,0,32.5,0.039473685,0.666666666666667,1,1,1,0.0327898228229909
p10195,3,0.05,21.2166666666667,3,53,47,3,475,0.333333333333333,33.6666666666667,0.0526315783333333,1,1,0,0,0.048790164169432
p10196,3,0.05,10.6083333333333,6,100,31,6,167.5,0.003331294,20.3333333333333,0.02631579,1,1,1,1,0.048790164169432
p10198,1,0.0166666666666667,,2,71,40,1,150,0,40,0.02631579,0.5,1,1,1,0.0165293019512106
p10199,1,0.0166666666666667,,2,9,9,2,146.5,0.199069915,9,0.02631579,1,0,0,0,0.0165293019512106
p102,2,0.0333333333333333,8.36666666666667,2,13,12,2,156.25,1,15,0.02631579,1,0,0,0,0.0327898228229909
p1020,1,0.0166666666666667,,2,12,11,2,229,0.249615385,11,0.02631579,1,1,1,0,0.0165293019512106
p10200,1,0.0166666666666667,,2,8,7,1,150,0,7,0.02631579,0.5,1,1,1,0.0165293019512106
